,CAS ID,InChIKey,SMILES
0,67309-95-9,IOYVXXQKVQKQIG-SVTCGHHYNA-N,CC(C)=C1CC[C@]23CO[C@H](C2)[C@@](O)(C(=O)O)CC[C@@H]13
0,2034-72-2,LCFUUGFUQQAYMY-CJAQKTMASA-N,CCC(CCC(C)C1CCC2C3C(=O)C=C4C=CCCC4(C)C3CCC12C)C(C)C
0,167934-03-4,SWYRVCGNMNAFEK-JYYLSQJINA-N,CC1=CC(=O)CC(C)(C)[C@]1(O)/C=C/[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
0,91379-74-7,XQDWXCVQCUOQHW-MFQMURHVNA-N,C=C1C(=O)[C@@]23[C@H](O)C[C@H]4[C@@](C)(CCC[C@]4(C)C(=O)O)[C@@H]2C[C@H](O)[C@@H]1[C@H]3O
0,1015781-35-7,RBAWAVDROAHWEW-QUHXUDGENA-N,COc1cc2c(oc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc32)c(OC)c1O
0,64432-06-0,CANAPGLEBDTCAF-UHFFFAOYNA-N,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3
0,486-88-4,JYIJIIVLEOETIQ-IDAOPKJVNA-N,O=C1CCC[C@H]2[C@@H]3C[C@H](CN12)[C@H]1CCCCN1C3
0,89837-88-7,JFKRFKYPGZLDFE-UHFFFAOYSA-N,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OCC(O)C(O)C7O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1
0,126253-42-7,FYWCDZKQBWSMDD-HIBBFHDGNA-N,COc1cc(CCCO)cc2c1O[C@@H](c1ccc(OC3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)c(OC)c1)[C@@H]2CO
0,519-18-6,DFAAYQHTFVTATL-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(C)oc2c1C
