,CAS ID,InChIKey,SMILES
0,233761-48-3,IFAFXSQFSWYJGN-NICGRSAWNA-N,CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@@H]2C1
0,27652-22-8,BVRDNJZFYKHRJQ-DEUOFTKMNA-N,C=C1C(=O)O[C@@H]2[C@@H]3[C@](C)(CCC[C@@]3(C)O)CC[C@@H]12
0,71305-64-1,IDDBBUFMGHTVDX-NZMURHOFNA-N,CCO[C@@]1(C)CC2=C(C(=O)OC2O)[C@@H](O)[C@@H]2CC(C)(C)C[C@@H]21
0,208449-03-0,IPZJSGMDGJTDNK-PTYWTVPZNA-N,C=C(CO)C(=O)O[C@@H]1[C@H]2C(=C)[C@@H](O)C[C@H]2C(=C)C[C@@H]2OC(=O)C(=C)[C@@H]12
0,628-46-6,MHPUGCYGQWGLJL-UHFFFAOYSA-N,CC(C)CCCC(=O)O
0,817168-18-6,ZHPKGQYOROKIGK-CKFPCOIDNA-N,CC(=O)O[C@H]1C[C@@H](OC(C)=O)C(C)(C)[C@]2(O)CCc3c(cc(O)c(C=O)c3C)[C@@]12C
0,193672-87-6,DZLKWHWDMKRDEX-YXAVWQKNSA-N,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(Cc2ccccc2)NC(=O)C(C(C)O)NC(=O)C2CCCN2C(=O)C(C(C)C)NC1=O
0,152511-36-9,SWSXUNGOPTYIGL-NAYDVACFNA-N,C=C1[C@@H]2C[C@@H]3OC(C)(C)O[C@H]4CCC(C)(C)[C@H]5[C@H](O)[C@@]6(O)OC[C@@]45[C@H]3[C@@]6(C2)[C@@H]1O
0,35910-16-8,BDZJLPDYMKPKGC-GGYSOQFKNA-N,Cc1cc2c(c(C)c1CCO)C(=O)[C@](C)(CO)C2
0,87402-81-1,QPJPDAWUDLZIDJ-QZBDDJNGSA-N,C=CCC1=CC2(OC)C(=O)C(C1=O)C(c1ccc(O)c(OC)c1)C2C
0,174592-17-7,KLPUXMNQDCUPNO-JGOUSXGWSA-N,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O
0,525-84-8,OXVNSOXLMCVHBU-UHFFFAOYSA-N,CN1CCc2cncn2C1=S
0,32773-02-7,MFTSECOLKFLUSD-UHFFFAOYSA-N,O=C(O)c1cc(O)c(O)c(O)c1-c1c(C(=O)O)cc(O)c(O)c1O
0,55511-16-5,IIUXRYBFJIQPEV-HJVDRZSNNA-N,CC(CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O
0,55044-50-3,FMLZTRSBOBZFHR-UHFFFAOYSA-N,COc1ccc2c(ccc3oc(C(C)=O)c(C)c(=O)c32)c1
0,66056-22-2,ZSAUXCVJDYCLRS-XNTDXEJSNA-N,C/C=C(C)C(=O)Oc1c(OC)c(OC)cc2c1-c1c(cc(OC)c(OC)c1OC)CC(C)(O)C(C)C2
0,117005-44-4,WMZDTEBVGDPDQL-URXHZYQANA-N,CC(C)[C@]1(O)CCC2=CCC[C@@H](C)[C@]2(C)C1
0,196202-51-4,QONCEXQYFKDJCY-JEXGZKQVNA-N,CO[C@@H]1[C@@H](C)[C@@]2(O[C@H](C[C@@H]3O[C@](O)([C@@H](O)C(=O)O)[C@@H](C)[C@H](OC)[C@@]3(C)OC)C[C@@H](OC)[C@H]2C)O[C@]1(C)[C@H]1CC[C@@H]([C@H]2CC[C@H]([C@@H](O)[C@@H](C)/C=C(C)C(C)=O)O2)O1
0,80500-86-3,VFRXORHDSSTODU-WDZFZDKYSA-N,C=C(COC(=O)C(C)=CC)COC(=O)C(C)C
0,156012-92-9,NJPDRQDELKMUTI-ACNYDKRASA-N,CC(C)=CCC[C@@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C
0,69856-27-5,JZKVLKBVTSOCID-CVGPOQNTNA-N,C/C=C(/NC(=O)C[C@H](O)CCCCCCCCCCC)C(=O)N[C@@H]1C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N/C(=C/C)C(=O)N[C@H](CCC(N)=O)C(=O)NCC(=O)N(C)[C@@H]([C@H](C)O[C@H]2OC(CO)[C@@H](O)[C@H](O)C2O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)O[C@@H]1C
