,CAS ID,SMILES,InChIKey
0,145108-33-4,CCCCCC1CCCCCCCCCC(=O)OC2C(OC3OC(C)C(OC(=O)C(/C)=C/C)C(O)C3O)C(C)OC(OC4C(O)C(O)C(CO)OC4OC5C(O)C(O)C(C)OC5O1)C2OC(=O)C(C)CC,DGRGOOVTCYVEDQ-KIBLKLHPSA-N
0,71-23-8,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N
0,1862-41-5,C1Cc2cc3OCOc3c4c5ccccc5C[C@@H](N1)c24,VZTUKBKUWSHDFM-CYBMUJFWSA-N
0,79659-60-2,CO[C@@H]1C[C@H]2N3CC[C@]2([C@H]4O[C@@H]14)c5cc6OCOc6cc5C3,QLRRUWXMMVXORS-NRKLIOEPSA-N
0,60433-72-9,C[C@H](CCC=C(C)C)[C@H]1C[C@H](O)[C@@]2(C)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,CCFQLQIYEHITNK-FKNUZRCOSA-N
0,41440-05-5,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(O)c3O2,NXHQVROAKYDSNW-UHFFFAOYSA-N
0,20310-89-8,OC[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c5ccc(O)cc5)[C@H](O)[C@@H](O)[C@@H]1O,HGUVPEBGCAVWID-KETMJRJWSA-N
0,22136-74-9,COc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5,RBTRUVNXLDXHBJ-UHFFFAOYSA-N
0,94-26-8,CCCCOC(=O)c1ccc(O)cc1,QFOHBWFCKVYLES-UHFFFAOYSA-N
0,86853-03-4,CC1CC=CC(C1)C(C)=C,OJBWHTRRQQNRBF-UHFFFAOYSA-N
0,49826-54-2,C=C1CC2CCC(C2)C1=C,WKLJTSKNIHOXNV-UHFFFAOYSA-N
0,18748-98-6,CCCCCCCCCCCCCCCCCCO[Si](C)(C)C,GVPDNFYOFKBFEN-UHFFFAOYSA-N
0,20175-84-2,Cc1cc(O)c2C(=O)C=CC(=O)c2c1c3c(C)cc4C(=O)C=CC(=O)c4c3O,OEEOHKZVBKYMBA-UHFFFAOYSA-N
0,543-38-4,NC(CCON=C(N)N)C(O)=O,FSBIGDSBMBYOPN-UHFFFAOYSA-N
0,1912-33-0,COC(=O)Cc1c[nH]c2ccccc12,KTHADMDGDNYQRX-UHFFFAOYSA-N
0,17650-84-9,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,RTATXGUCZHCSNG-QHWHWDPRSA-N
