,CAS ID,SMILES,InChIKey
0,38668-43-8,CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(C)C)OC(=O)CCNC(=O)C(C)NC(=O)C(NC1=O)C(C)C,WLMXKXWQSABLMV-UHFFFAOYSA-N
0,15266-46-3,CC[C@]12CCc3[nH]c4ccccc4c3CCN(C[C@H]5O[C@@H]15)C2,OGDFTQDRHAGLTB-GUDVDZBRSA-N
0,15085-74-2,COc1cc(OC)c2c(O)c3C(=O)C=C(C)Oc3c(c2c1)c4c(OC)cc5cc6OC(=CC(=O)c6c(O)c5c4OC)C,QAHRSPAZSGMZMT-UHFFFAOYSA-N
0,19598-45-9,C[C@H]1CCCC2=CC(=O)C(C[C@]12C)=C(C)C,DZOKWSREAZGFFC-XHDPSFHLSA-N
0,144118-18-3,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)C(C)(C)C5CC[C@@]34C)[C@H]2C1)C(=O)O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O,MLIQJRVPWRKGIO-BIRDKCKZSA-N
0,27013-91-8,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)CO[C@H]2O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C6[C@@H]7CC(C)(C)CC[C@@]7(CC[C@@]56C)C(O)=O)[C@]3(C)CO)[C@H](O)[C@H](O)[C@H]1O,KEOITPILCOILGM-LLJOFIFVSA-N
0,55399-12-7,CC1=CCC(CC1)C2(C)CCC(O2)C(C)(C)O,RKBAYVATPNYHLW-UHFFFAOYSA-N
0,96935-31-8,CC1CC(O)(CO)OC1OCC2OC(Oc3ccc4Oc5cccc(O)c5C(=O)c4c3)C(O)C(O)C2O,XTCXFMKCQXHXFT-UHFFFAOYSA-N
0,43124-59-0,C[C@H]1C[C@@H]2[C@H](CC1=O)C2(C)C,ABSCYWMYRVUUIC-RNJXMRFFSA-N
0,140-29-4,N#CCc1ccccc1,SUSQOBVLVYHIEX-UHFFFAOYSA-N
