,CAS ID,SMILES,InChIKey
0,76907-77-2,COc1cc(O)c2C(=O)c3cc(O)ccc3Oc2c1OC,NQNPLVZPJSLIIA-UHFFFAOYSA-N
0,58-97-9,OC1C(O)C(OC1CO[P](O)(O)=O)N2C=CC(=O)NC2=O,DJJCXFVJDGTHFX-UHFFFAOYSA-N
0,19416-87-6,OC[C@H]1O[C@@H](Oc2ccc(cc2)C3=CC(=O)c4c(O)c([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c(O)cc4O3)[C@H](O)[C@@H](O)[C@@H]1O,SFNFQCXADNWOCI-KETMJRJWSA-N
0,3208-16-0,CCc1occc1,HLPIHRDZBHXTFJ-UHFFFAOYSA-N
0,127941-81-5,CC/C=C/C1OC1C2=C(C)C(=O)C3(O2)C(O)C(NC3=O)(OC)C(=O)c4ccccc4,UCUHTBUWKCQZNJ-VZUCSPMQSA-N
0,71657-28-8,CNC1C(O)C(OC2OC(CCC2N)C(C)N)C(N)CC1OC,YGRYQFMCQIZSDG-UHFFFAOYSA-N
0,28540-82-1,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CNC(=O)/C(=C/c2ccccc2)N(C)C1=O,SIIRBDOFKDACOK-LFXZBHHUSA-N
0,92662-85-6,CC(=C)C1Cc2cc(C3COc4cc(O)ccc4C3)c(O)cc2O1,QSBNBPUPUBDYQE-UHFFFAOYSA-N
0,85802-28-4,COc1c2ccoc2nc3cc(OCC=C(C)C)ccc13,CUYNRHIVHYCGNH-UHFFFAOYSA-N
0,61370-10-3,N[C@@H](CC(O)CN=C(N)N)C(O)=O,OPCBKDJCJYBGTQ-BKLSDQPFSA-N
0,814-49-3,CCO[P](Cl)(=O)OCC,LGTLXDJOAJDFLR-UHFFFAOYSA-N
0,20512-31-6,CC(CO)[C@H](C)C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,ZJISPMMPECVLMY-CSUDGKPCSA-N
0,61897-83-4,CC(C)[C@@H](O)C1=Nc2ccccc2C(=O)N1[C@H]3C[C@]4(OC3=O)[C@H]5N(OC(C)=O)C(C)(C)C(=O)N5c6ccccc46,BYQPJOSRJIDYTP-YPMWMNAPSA-N
0,2629-14-3,COC(=O)CC1C(C)(C)C(=O)CC2OC34CC(=O)OC(c5cocc5)C3(C)CCC(C4=C)C12C,YNMYHRYTRCKSMI-UHFFFAOYSA-N
0,72719-89-2,CC(Cl)(CBr)/C=C/C(Cl)C(C)(Cl)\C=C\Cl,JQUYRIQWDHGFCY-VNKDHWASSA-N
0,4229-91-8,CCCc1occc1,CPLJMYOQYRCCBY-UHFFFAOYSA-N
0,1929-30-2,CCOC(=O)/C=C/c1ccc(OC)cc1,DHNGCHLFKUPGPX-RMKNXTFCSA-N
0,520-14-9,OC[C@H]1O[C@@H](Oc2cc(cc(O)c2O)C3=C(O)C(=O)c4c(O)cc(O)cc4O3)[C@H](O)[C@@H](O)[C@@H]1O,ZJYAVUPWMNHHEU-GFOOFYSOSA-N
0,114567-47-4,C[C@H](CCC=C(CO)CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C,JVGJXXNUVVQEIG-MCKXIFHVSA-N
0,65597-47-9,O[C@@H]1CO[C@@H](Oc2cc(O)c3C[C@H](O)[C@H](Oc3c2)c4ccc(O)c(O)c4)[C@H](O)[C@H]1O,UQKKDJWFQBNZBJ-MLYGIHNMSA-N
0,67858-30-4,COc1cc(cc(OC)c1OC)C2=CC(=O)c3ccccc3O2,QCXAJQVDUHKDEL-UHFFFAOYSA-N
0,148717-90-2,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)O[S](O)(=O)=O,UIRKNQLZZXALBI-MSVGPLKSSA-N
0,492-62-6,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-DVKNGEFBSA-N
0,77790-53-5,COc1cc(OC)c2C=CC(=O)Oc2c1C[C@H](O)C(C)=C,NUABNGXDPYIGQM-LBPRGKRZSA-N
0,96406-05-2,OC(=O)CCCCCC(=O)C(O)=O,HAGOOZVJLSSXGZ-UHFFFAOYSA-N
0,4233-96-9,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](Oc2c1)c4cc(O)c(O)c(O)c4,WMBWREPUVVBILR-NQIIRXRSSA-N
0,135272-91-2,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(=O)C1,JTXVTHCLTOUSSL-UHFFFAOYSA-N
0,35761-52-5,C[C@H](CC/C=C(C)/CCCc1coc(Cc2cocc2)c1)\C=C\3OC(=C(C)C3=O)O,TWVKRMZDCDAXFP-WCAMTQCTSA-N
0,30167-28-3,CC(C)[C@@H]1CC[C@](C)(O)[C@@H]2CCC(=C)C[C@@]12O,AHNGXHRYFGQWSL-ZQDZILKHSA-N
0,4096-48-4,OCC[C@H](NC(=O)C(O)=O)C(O)=O,DSGLBKHWTOFZAT-VKHMYHEASA-N
0,67257-79-8,O=C1CC(NCCCCN2C(CCN1)c3ccccc3C=CC2=O)c4ccccc4,DKCWAFAXQGAJSD-UHFFFAOYSA-N
0,4443-09-8,Oc1cc(O)c2C(=O)C=C(Oc2c1O)c3ccccc3,ZFKKRRMUPBBYRS-UHFFFAOYSA-N
0,623-36-9,CC\C=C(/C)C=O,IDEYZABHVQLHAF-GQCTYLIASA-N
0,17303-67-2,O=C1O[C@H](CC=C1)/C=C/c2ccccc2,RLGHFVLWYYVMQZ-BZYZDCJZSA-N
0,75737-41-6,COc1ccccc1CNc2ncnc3nc[nH]c23,STWJKIOLMNHFIK-UHFFFAOYSA-N
0,16611-84-0,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O,ADFWQBGTDJIESE-UHFFFAOYSA-N
0,22489-66-3,CC1C2C(CC1=O)C(=C)CC(O)C3C2OC(=O)C3=C,YGMIBVIKXJJQQJ-UHFFFAOYSA-N
0,27259-98-9,CN1C(=O)C=C(C)c2cc3C(=CC(=O)N4COc(c12)c34)C,SBTFHJGTXHMDPR-UHFFFAOYSA-N
0,58322-78-4,Cc1cc2C(=O)c3cccc(O)c3C(=O)c2c(O)c1O,CQNVSNFEXPKHGW-UHFFFAOYSA-N
0,156620-46-1,CNC(=O)CC1NC(=O)c2csc(n2)c3ccc(nc3c4csc(n4)c5csc(n5)C(NC(=O)CNC(=O)c6csc(n6)C(NC(=O)c7nc1sc7C)C(C)C)C(C)C)c8scc(n8)C(=O)OC,CEKXFMGPQFBJOI-UHFFFAOYSA-N
0,140-67-0,COc1ccc(CC=C)cc1,ZFMSMUAANRJZFM-UHFFFAOYSA-N
0,142-18-7,CCCCCCCCCCCC(=O)OCC(O)CO,ARIWANIATODDMH-UHFFFAOYSA-N
0,482-25-7,COc1c2ccoc2c(OC[C@@H](O)C(C)(C)O)c3OC(=O)C=Cc13,PKRPFNXROFUNDE-LLVKDONJSA-N
0,501-30-4,OCC1=CC(=O)C(=CO1)O,BEJNERDRQOWKJM-UHFFFAOYSA-N
0,124412-57-3,COC1=C([C@H](C)[C@@]23O[C@@]24[C@H]1C#C\C=C/C#CC3Nc5c4cc(O)c6C(=O)c7c(O)ccc(O)c7C(=O)c56)C(O)=O,AFMYMMXSQGUCBK-CWSCUYGGSA-N
0,18913-18-3,O[C@@H]1[C@H](Oc2c([C@@H]3[C@H](Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)c(O)cc(O)c2C1=O)c6ccc(O)c(O)c6,SNFOQVRNAHJPMU-BENTYHEHSA-N
0,65953-82-4,COc1ccc2C[C@H]3NCCc4cc(OC)c(O)c(c2c1)c34,RELZHBBKERFUAJ-CQSZACIVSA-N
0,6811-63-8,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@@]34C)[C@H]2C1,JFSHUTJDVKUMTJ-OWHKACRLSA-N
0,33889-68-8,COc1ccc2CC3N(C)CCc4cc(OC)c(O)c(Oc5cc6C(Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34,IIQSJHUEZBTSAT-UHFFFAOYSA-N
0,85166-31-0,OC1C(O)C(O[P](O)(O)=O)C(O[P](O)(O)=O)C(O)C1O[P](O)(O)=O,MMWCIQZXVOZEGG-UHFFFAOYSA-N
0,129025-96-3,COc1c(O)c2C(=O)c3c(OC)c(O)c(C)cc3C(=O)c2cc1O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O,LQYQYAJWKXDTHR-PHVGODQESA-N
0,6418-47-9,CCCCCCCCCCCCCCCCCCC(C)CC,OSJUENOXPFOHLF-UHFFFAOYSA-N
0,1708-81-2,CCC\C=C/CCO,SDZQUCJFTUULJX-PLNGDYQASA-N
0,91682-93-8,CC1(C)CC23C4CC(=O)C2COC(=O)C3(O)CCC14,QFYAMSVHGKUQAI-UHFFFAOYSA-N
0,1560-89-0,CCCCCCCCCCCCCCCC(C)C,RJWUMFHQJJBBOD-UHFFFAOYSA-N
0,112-31-2,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N
0,1139-30-6,CC1(C)CC2C1CCC3(C)OC3CCC2=C,NVEQFIOZRFFVFW-UHFFFAOYSA-N
0,85-23-4,COC1=C(O)C(=O)C(=C(O)C1=O)C,GFAZBXKENDSJEB-UHFFFAOYSA-N
0,110187-25-2,CNC(C)C(=O)NC(C(C)C)C(=O)N1CCC2Oc3ccc(OC)c(\C=C/NC(=O)C(CC(C)C)NC(=O)C12)c3,GCQKZEBOTMIJGB-BENRWUELSA-N
0,6665-86-7,Oc1ccc2C(=O)C=C(Oc2c1)c3ccccc3,MQGPSCMMNJKMHQ-UHFFFAOYSA-N
0,30634-66-3,COCc1cncc2[C@@H](C)CCc12,ZRJLCVQCZVXUFB-QMMMGPOBSA-N
0,54707-45-8,Cc1coc2C(=O)c3cccc(C)c3C(C)(O)c12,OKXRQISDRKEMCB-UHFFFAOYSA-N
0,492-61-5,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N
0,96638-81-2,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H]3Cc4cc5C=CC(=O)Oc5cc4O3,FBXYOMVTZDVTHK-LDVHROGYSA-N
0,642-71-7,COc1cc(O)cc(OC)c1OC,VTCDZPUMZAZMSB-UHFFFAOYSA-N
0,4282-07-9,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,MJGLREGOLPEPID-GHKGYAFRSA-N
0,675-10-5,CC1=CC(=O)C=C(O)O1,OOKCZXGEYPSNIM-UHFFFAOYSA-N
0,3153-55-7,COc1c(O)cc2CCN(C)[C@@H]3Cc4ccccc4c1c23,AKXOIHNFHOEPHN-CQSZACIVSA-N
0,1986-70-5,C[C@@H]1C[C@H](O)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]6(C)[C@H](CC[C@]56O)C7=CC(=O)OC7)C[C@H]3O[C@@H]2O1,OWPWFVVPBYFKBG-NYVHBPEFSA-N
0,1189-94-2,CC(O)(CCO[P](O)(O)=O)CC(O)=O,OKZYCXHTTZZYSK-UHFFFAOYSA-N
0,88434-20-2,[Na+].CC(C)CC(=O)CC(C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O[C@H]4O[C@H](C)[C@@H](O)[C@H](O[C@@H]5OC[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@H](C)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]5O[C@H]9O[C@H](C)[C@@H](O)[C@H](O)[C@H]9O)[C@H]4O)[C@H]%10C[C@H](CC[C@]%10(C)C3=CC[C@]12C)O[S]([O-])(=O)=O,VAGYKCDDTUMBQN-JFVQTHJWSA-M
0,20086-07-1,C[C@@]12C[C@@H](OC13C[C@H](OC3=O)[C@@H]4[C@@H](C[C@H](O)C[C@@H]24)C(O)=O)c5cocc5,UYALWPKCIMKALF-XBHMPIGQSA-N
0,72934-03-3,CCCCCCCCCCCCCCCCCCCCCCCCCCC=O,UEAAOADMOOTTQM-UHFFFAOYSA-N
0,17105-75-8,CC(C)C(C)CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC12C,PUGBZUWUTZUUCP-UHFFFAOYSA-N
0,152186-79-3,CC(C)=CCc1c(O)cc2OC3=C(C(Oc4cc(O)ccc34)C=C(C)C)C(=O)c2c1O,PWHGUSAQRRPLSJ-UHFFFAOYSA-N
0,3373-53-3,NC1=C2NC=NC2=NC(=O)N1,DRAVOWXCEBXPTN-UHFFFAOYSA-N
0,18797-79-0,CN1Cc2c3OCOc3ccc2[C@@]4(C)[C@@H](O)Cc5cc6OCOc6cc5[C@@H]14,IQUGPRHKZNCHGC-TYPHKJRUSA-N
