,CAS ID,SMILES,InChIKey
0,5988-76-1,CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C,DGIGXLXLGBAJJN-TUOUHCSQSA-N
0,560-30-5,COc1cc2N3C4C5C(CC3=O)OCC=C6CN7CCC4(c2cc1OC)C7(O)CC56,JNNROFOMHXIAMQ-UHFFFAOYSA-N
0,58880-19-6,CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,RTKIYFITIVXBLE-WKWSCTOISA-N
0,108906-96-3,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)[C@H](O)[C@H](O)[C@H]1O,OHOBPOYHROOXEI-SRIOWEGGSA-N
0,630-03-5,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,IGGUPRCHHJZPBS-UHFFFAOYSA-N
0,7290-03-1,[Cl-].CO[C@@H]1CC23N(CCc4cc(O)c(OC)cc24)CC=C3C=C1.[H+],IWBJRASRTOFRMO-WVEXQUBRSA-N
0,523-50-2,O=C1Oc2c(C=C1)ccc3occc23,XDROKJSWHURZGO-UHFFFAOYSA-N
0,21302-79-4,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@]5(C)[C@@H](CC[C@@]34C)C(C)(C)[C@@H](O)[C@@H]5C(O)=O)[C@@H]12)C(O)=O,WLCHQSHZHFLMJH-VILVJDKQSA-N
0,94-13-3,CCCOC(=O)c1ccc(O)cc1,QELSKZZBTMNZEB-UHFFFAOYSA-N
0,108354-13-8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC1=C(C)Nc2ccccc2C1=O,JHMLNOXMSHURLQ-YEFHWUCQSA-N
0,616-79-5,Nc1ccc(cc1C(O)=O)[N+]([O-])=O,RUCHWTKMOWXHLU-UHFFFAOYSA-N
0,21688-61-9,CC(CCC=C(C)C)C1C(O)CC2(C)C3=CCC4C(C)(C)C(=O)CCC4(C)C3CCC12C,YORJEFOAAXJWIS-UHFFFAOYSA-N
0,109-52-4,CCCCC(O)=O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N
0,67673-13-6,CN1CCCC1c2c(O)ccc3c4CCN5C[C@H](C=C)[C@@H](C[C@@H]6N(C)CCc7c6[nH]c8ccccc78)C[C@H]5c4[nH]c23,PHLJPJICTIGOKC-ZTJUTDRQSA-N
0,53783-87-2,OC1C2CCC1C=C2,PSKWDFVNXXATCG-UHFFFAOYSA-N
0,127995-29-3,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,CLVUFWXGNIFGNC-KVTDHHQDSA-N
0,52617-32-0,CC(C)=CC[C@H]1C[C@@]2(C[C@@H](CCC(C)=C)C(C)=C)C(=O)C(=C(O)\c3ccc(O)c(O)c3)/C(=O)[C@](CC=C(C)C)(C2=O)C1(C)C,TZZQZCIACNYHBG-NDVZVQCQSA-N
0,18059-10-4,C[C@H]1CC[C@@H]2N(C1)C[C@H]3[C@@H]4C[C@H]5[C@@H](CC(=O)[C@H]6C[C@@H](O)CC[C@]56C)[C@@H]4CC[C@@H]3[C@]2(C)O,IQDIERHFZVCNRZ-YUYPDVIUSA-N
0,104-45-0,CCCc1ccc(OC)cc1,KBHWKXNXTURZCD-UHFFFAOYSA-N
0,13484-67-8,OC1C(O)C(OC1CO[P](O)(O)=O)n2cnc3c(NCc4occc4)ncnc23,WDFCXEWULSQTFC-UHFFFAOYSA-N
0,542-92-7,C1C=CC=C1,ZSWFCLXCOIISFI-UHFFFAOYSA-N
0,21722-83-8,CC(=O)OCCC1CCCCC1,NOTFZGFABLVTIG-UHFFFAOYSA-N
0,2798-25-6,COc1cc(O)c2C(=O)c3c(O)ccc(O)c3Oc2c1,JDIORNFCMMYMLF-UHFFFAOYSA-N
0,529-20-4,Cc1ccccc1C=O,BTFQKIATRPGRBS-UHFFFAOYSA-N
0,498-15-7,CC1=CC[C@@H]2[C@H](C1)C2(C)C,BQOFWKZOCNGFEC-BDAKNGLRSA-N
0,67674-42-4,CC(=O)OC1CCC(C)(OC1(C)C)C=C,IRWLDXUJBJPFNV-UHFFFAOYSA-N
0,2723-56-0,COC(=O)C1C\2CC3N(CCC45CC6C7CC8N(C)C(Cc9c%10ccccc%10n(C)c89)C7COC6(C)OC34N1c%11ccccc5%11)CC2=C\C,XXNYZYBYNFRERU-TXNBCWFRSA-N
0,96862-01-0,O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@@H]1O,NBQPHANHNTWDML-UJKBSQBPSA-N
0,41753-54-2,OC[C@H]1O[C@@H](O[C@@H](C#N)c2cccc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,KCVXNPDAHDGXFD-GMDXDWKASA-N
0,118-10-5,O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,KMPWYEUPVWOPIM-QAMTZSDWSA-N
0,105377-76-2,CC(=C)[C@H]1Cc2c(O)c3C(=O)[C@H](O)[C@H](Oc3cc2O1)c4ccc(O)cc4,SSLFFCGTMHUDHS-CAYVGHNUSA-N
0,645-08-9,COc1ccc(cc1O)C([O-])=O,LBKFGYZQBSGRHY-UHFFFAOYSA-M
0,125409-58-7,C[C@@H]1CC[C@H]2[C@H](C)C3=C(CN2C1)[C@@H]4C[C@H]5[C@@H](CC(=O)[C@H]6C[C@@H](O)CC[C@]56C)[C@@H]4CC3,ICSCULPVAJQROK-ILIONMCUSA-N
0,67715-80-4,CCCC1CCOC(C)S1,GKGOLPMYJJXRGD-UHFFFAOYSA-N
0,7678-85-5,Oc1ccc(c(O)c1)C2=COc3cc(O)ccc3C2=O,ZCTNPCRBEWXCGP-UHFFFAOYSA-N
0,2150-11-0,Oc1ccc2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3,PVFGJHYLIHMCQD-UHFFFAOYSA-N
0,115-95-7,CC(C)=CCCC(C)(OC(C)=O)C=C,UWKAYLJWKGQEPM-UHFFFAOYSA-N
0,478-08-0,OCc1c(O)cc2C(=O)c3ccccc3C(=O)c2c1O,AMIDUPFSOUCLQB-UHFFFAOYSA-N
0,105-54-4,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N
0,93-60-7,COC(=O)c1cccnc1,YNBADRVTZLEFNH-UHFFFAOYSA-N
0,103729-43-7,C[C@@H]1CCCCCCC(=O)\C=C/C(=O)O1,XETYGXGLGYXEIT-HSTULFTRSA-N
0,18172-33-3,CC(=O)C1=C(O)N2[C@@H]([C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C2(C)C)C1=O,RLOAZVAJNNPPDI-DQYPLSBCSA-N
0,3008-40-0,O=C1CCCCCCC1=O,XZDMGEBEHZDGES-UHFFFAOYSA-N
0,16409-44-2,CC(=O)OC/C=C(C)/CCC=C(C)C,HIGQPQRQIQDZMP-DHZHZOJOSA-N
0,141-79-7,CC(C)=CC(C)=O,SHOJXDKTYKFBRD-UHFFFAOYSA-N
0,2299-26-5,CC[C@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)C(=O)C[C@H]1C2C(=O)OC,FFVRRQMGGGTQRH-GYOUQHOJSA-N
