,CAS ID,InChIKey,SMILES
0,564-73-8,FVYXIJYOAGAUQK-UHFFFAOYSA-N,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
0,288627-12-3,XLXLWRGGUYSHOH-WBUFBUKVSA-N,COC(=O)[C@@]1(OC(C)=O)C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)O)[C@@H]2CC[C@@H]1C3
0,84873-15-4,JMSFLLZUCIXALN-WEVVVXLNSA-N,COc1cc(/C=C/C(=O)OCCc2ccc(O)cc2)ccc1O
0,39011-91-1,FCHVXNVDFYXLIL-BYJQOQJSNA-N,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccc(O)cc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
0,58942-18-0,WXRZYIAUGRZZHE-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2OS(=O)(=O)O)cc1
0,103530-47-8,MWBJDDYEYGDWCZ-DRWPSNHBNA-N,C[C@H]1CC[C@@H]2[C@H](C)[C@@H]3CC[C@@H]4[C@@H](C[C@H]5[C@H]4CC(=O)[C@H]4C[C@@H](O)CC[C@@]45C)[C@@H]3CN2C1
0,163860-18-2,REHJYVNNHMTESF-RYCSPDITNA-N,COc1ccc(CCC(=O)c2c(O)cc(O)c([C@@H](c3ccc(O)cc3)[C@H](C)[C@@H](C)Cc3ccc(O)cc3)c2O)cc1
0,157341-07-6,KIWBXNFOSSEZSM-UHFFFAOYSA-N,CC(=O)c1nc(C(N)=O)cc2c1[nH]c1ccccc12
0,117240-48-9,RHNBOYYLXZVNKD-UHFFFAOYSA-N,COc1cccc2c1-c1ccc(cc1O)CCc1ccc(O)c(c1)Oc1ccc(cc1)CC2
0,159935-09-8,FRVIYMUWTVFMSJ-ZRTMBVTDNA-N,C[C@H](CCC1(O)O[C@H]2C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
0,1015236-22-2,MKOPZQIQZWBFOD-MTDXPJBHNA-N,CC(O)CCCCC(C)C1CC(O)C(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)O1
0,1209-63-8,LRSNSCWFOBGPBP-OPNJQGHXNA-N,CC1=C2C(=O)[C@H](C(C)C)CC[C@@]2(C)CCC1
0,328059-72-9,DIHJNCJEIOMBSV-DEGFVTPQNA-N,C=C(C(=O)O[C@H]1C[C@@]2(C)[C@H](O)CCC(C=O)[C@@H]2[C@@H](O)[C@@H]1C(=C)C(=O)OC)C(O)COC(C)=O
0,366472-94-8,JPQIZNMBTLLOPM-MBHLOHCPNA-N,CC(=O)OC[C@H]1O[C@]2(Cc3c(cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)O2)[C@H](O)[C@@H]1O
0,157998-96-4,KFZWEFIJHQUPCM-ULRSANJBNA-N,C/N=[N+]([O-])CC[C@H](N)C(=O)O
0,176772-12-6,HKZZJMNAXFMOCE-NDMNMUBISA-N,CC1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)C(C(C)(C)C2OC(C)=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C2=O)O1
0,943518-95-4,HMDYSOWCVAYVMA-GFLCBYBNNA-N,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@H]5[C@@H]6C[C@@H]7O[C@@]8(OC[C@@H](CO)C[C@@H]8O)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
0,134522-27-3,QZHICJNADLHUTJ-XNTDXEJSNA-N,CC1(C)CCC2(C(=O)OC3OCC(O)C(OC4OC(CO)C(O)C(O)C4O)C3OC(=O)/C=C/c3ccc(O)cc3)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
