,CAS ID,InChIKey,SMILES
0,194934-83-3,QAKZPBCOTDXPHA-IBDKATPANA-N,COc1cc(O)c2c(=O)c(O[C@@H]3OC(CO)[C@@H](O)[C@H](O[C@@H]4OC(CO)[C@@H](O)[C@H](O)C4O)C3O)c(-c3ccc(O)c(O)c3)oc2c1
0,19891-85-1,RCXANGLYPFOYKX-XJJQXQETSA-N,CC(=O)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
0,551930-36-0,JBMKRBYWTDYYDW-PETGIKFUNA-N,CC(=O)OC[C@@]12CC[C@@]3(C)[C@H]4C(=CC[C@]3(C)[C@H]1[C@H](O)C[C@H]2C(C)C)[C@@]1(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]1C[C@@H]4O
0,1229987-99-8,SSVWRFSKXASYIH-OEUACMKRSA-N,C/C=C1/[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1
0,82518-59-0,IUASHMBEKPLGEC-UHFFFAOYNA-N,CC(C)=C(NC(=O)C(CC(C)C)NC(=O)C1CCC=NN1C(=O)C(NC(=O)C(C)NC(=O)C(N)(CO)CO)C(C)N)C(=O)NC(CO)C(=O)O
0,111873-87-1,BHLYQNMLGRQFKV-UHFFFAOYSA-N,CC1=CC(=O)C2=C(C)C=CC(=C(C)C)C=C12
0,185844-69-3,LHVHDMHDABWGLD-PMWVOBBJNA-N,CCCCCCCCCCCCC(O)C(O)CCC(O)CC(O)C[C@@H](O)[C@H]1CC[C@H]([C@@H](O)CCC(O)CC2=CC(C)OC2=O)O1
0,41928-76-1,HILKIZRODBIOMK-LEFKRGDZNA-N,COc1cc2c(cc1O)[C@H](Cc1cc(OC)c(OC)cc1Oc1cc3c(cc1OC)-c1c(O)c(OC)cc4c1[C@H](C3)N(C)CC4)N(C)CC2
0,157469-83-5,IJZGFTCXUSMUHI-CMBLSTHZSA-N,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(cc3[C@H]3OC[C@H]5[C@@H]3CO[C@@H]5c3ccc5c(c3)OCO5)OCO4)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
0,1360-57-2,XKJJSWXADRRQKQ-MNIFRMNDNA-N,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccc(O)cc5c4CCN3C[C@H]2CC[C@H]1O
0,910645-69-1,TYXXEQMKBIKKOL-DFNWNFIUNA-N,C[C@@H](O)C[C@H]1O[C@@H]1/C=C/C=C/c1cc2cc(O)cc(O)c2c(=O)o1
0,151676-97-0,QBLJGCXJENARAY-SHQLGNMRNA-O,O=C(/C=C/c1ccc(O)cc1)OCC1O[C@@H](Oc2cc(O)cc3[o+]c(-c4cc(O)c(O)c(O)c4)c(O[C@@H]4OC(CO)[C@H](O)C(O)C4O)cc23)C(O)[C@@H](O)[C@@H]1O
0,124739-44-2,MWLYEINUIYVUDF-VMDVHIDMNA-N,C#CC(O)/C=C/CC/C=C/CCCC/C=C/CCC#CC(O)C#C/C=C/CC/C=C/CCCCCCCCCCCCC/C=C/C(O)C#C
0,144425-27-4,FUGVAXUUIZJLTI-YJLLYTSANA-N,C=C1CC23C[C@H]4[C@@H]5[C@@]6(C)C[C@H](OC(=O)CC)C[C@]57C(N4C6)[C@@]2(O)C(O)[C@H]1[C@@H](O)[C@H]37
0,142279-40-1,SCTFNYRDIXJIGS-ZYBHEZSUNA-N,COC(=O)/C(C)=C1C(=O)[C@H](O)[C@]2(C)C3=C(C[C@H]4[C@]5(C)C6CC7=C(COC(=O)COC(=O)CC/C=C(C)C(=O)OC[C@]6(O)[C@H]6C[C@H]65)C(=O)O[C@@]74C31)[C@H]1C[C@H]12
0,479068-69-4,ZUHSRZLUGOUPFT-CSOUCCRTSA-N,O=C([C@H]1[C@H](/C=C/c2ccc3c(c2)OCO3)[C@H](c2ccc3c(c2)OCO3)C=C[C@@H]1C(=O)N1CCCCC1)N1CCCCC1
0,398473-13-7,NYPYCPQTNYBOTK-VAGACMNPNA-N,CC1O[C@@H](OC2C(=O)c3c(O)cc(O)cc3OC2c2ccc(O)c(O)c2)[C@@H](O)C(OC(=O)/C=C/c2ccccc2)[C@H]1O
0,241125-72-4,AOLXCIMAVBSZMY-UBISEAPJNA-N,COc1cc(/C=C/C(=O)OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1OC
0,72241-26-0,BQFASKRKRAPUFK-WSBUIGBBNA-N,O=C(/C=C/c1ccc(O)c(O)c1)c1cc(O)c(O[C@@H]2OC(CO)[C@@H](O)[C@H](O)C2O)cc1O
0,61116-99-2,VYKLRWGPNUVKNC-HNSJSBKASA-N,CC(=O)C=CC12OC1(C)CC(O)CC2(C)C
0,220327-17-3,JGSVLTPLGGGCRI-NTSJLCFDNA-N,CC[C@@]12CC[C@@H]3N(C)c4ccc([C@]56CC[C@]7(CC)[C@@H]8O[C@@H]8CN8CC[C@@]5(c5ccccc5N6C)[C@@H]87)cc4[C@@]34CCN(C[C@H]3O[C@H]31)[C@@H]24
