,CAS ID,SMILES,InChIKey
0,5129-66-8,CCC(C)CCCCCCCCCCC(=O)OC,BJIUDNXPLSJWKE-UHFFFAOYSA-N
0,62458-61-1,COc1cc2OC(C)(C)C=Cc2cc1C=C,RRUFTPKJXNXMAE-UHFFFAOYSA-N
0,20243-59-8,COc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)cc3)O,MQSZRBPYXNEFHF-UHFFFAOYSA-N
0,124883-38-1,CCC(C)C1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(C)N)C(O)C(N)=O)C(OC1=O)C(N)=O)C(O)c2ccc(O)cc2)C(O)C(C)C,FZKVQDUEWNYBMS-UHFFFAOYSA-N
0,74016-87-8,CC1(C)C[C@H]2C[C@@]2(C)[C@@H]3CCC(=C)[C@H]3C1,WXGMXZIDGRJJPK-KYEXWDHISA-N
0,3074-77-9,CCC(C)C(CC)CC,OKCRKWVABWILDR-UHFFFAOYSA-N
0,35628-00-3,CC(C)=C[C@@H](O)CC(=C)C=C,NHMKYUHMPXBMFI-SNVBAGLBSA-N
0,60008-02-8,CC1(C)Oc2ccc(c(O)c2C=C1)C3=COc4cc(O)ccc4C3=O,COLMVFWKLOZOOP-UHFFFAOYSA-N
0,643-57-2,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC1=C(O)Oc2cc(O)ccc2C1=O,JTWYMSOHSMLJJA-XURGJTJWSA-N
0,158792-23-5,COc1c(C)c(OC(=O)c2c(C)c(C)c(OC(=O)c3c(C)c(C)c(O)c(C)c3OC)c(C)c2O)c(C)c(C)c1C(O)=O,UESGSZFVMHDIFM-UHFFFAOYSA-N
0,35825-57-1,C[C@H]1COC2=C1C(=O)C(=O)c3c4CCCC(C)(C)c4ccc23,GVKKJJOMQCNPGB-JTQLQIEISA-N
0,126655-24-1,CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCC(=O)CCCCC2CC(CC(C)=O)C(=O)O2,PAFMHAFYJMTISR-UHFFFAOYSA-N
0,602-06-2,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45)c3C(=O)c2c1,MQSXZQXHIJMNAF-UHFFFAOYSA-N
0,65416-59-3,CC1CCC2(O1)C(=C)C=CCC2(C)C,DUPDJVDPPBFBPL-UHFFFAOYSA-N
0,82841-75-6,CCN1CC2CCC(OC)C34C2CC(C13)C5(O)CC(OC)C6CC4C5C6OC(C)=O,MLYKFKUTKJPICF-UHFFFAOYSA-N
0,4208-09-7,COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)CO,ZJMLELXRQUXRIU-HBGVWJBISA-N
0,27741-01-1,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H]3CC=C(CO)[C@@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,ZJDOESGVOWAULF-OGJQONSISA-N
0,58189-33-6,COC1=CC=C2C(=CC1=O)c3nccc4c(OC)c(OC)c(OC)c2c34,UNLMKMRFVJZAEV-UHFFFAOYSA-N
0,299-36-5,OC[C@H](O)[C@H]1OC(=O)[C-](O)C1=O,RUZSIBWKLPULMN-JLAZNSOCSA-N
