,CAS ID,SMILES,InChIKey
0,17184-21-3,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,QUBNLZCADIYAFW-RITZIESXSA-N
0,535-83-1,C[n+]1cccc(c1)C([O-])=O,WWNNZCOKKKDOPX-UHFFFAOYSA-N
