,CAS ID,InChIKey,SMILES
0,82206-45-9,FJXLUCXTESMUQC-ZBCFCOMENA-N,CC(=O)OCC1O[C@@H](Oc2cc(O)c3c(c2)OC(c2ccccc2)CC3=O)C(O[C@@H]2OC(C)[C@H](O)C(O)[C@@H]2O)[C@@H](O)[C@@H]1O
0,52691-07-3,SRHNEIJTWOSNCY-UHFFFAOYNA-N,CC(=O)OC1C2C(OC(=O)c3ccccc3)C3(OC2(C)C)C(C)CCC(OC(C)=O)C3(C)C1OC(=O)c1cccnc1
0,175556-08-8,HLWAHVKBOVRYEE-ZOSDOZIUSA-N,COc1ccc([C@]2(C)Oc3c(OC)cc(/C=C/CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3[C@H]2CO)cc1OC
0,252672-66-5,IFUZUQKJCKPEIC-YSEXRIQMNA-N,Cc1cc2c(cc1O)[C@H](C)[C@H](/C=C/C(C)(C)O)O2
0,84534-23-6,YPWUHQOSVLBEID-BZZUQPSMNA-N,O=c1c(O[C@@H]2OC(CO[C@@H]3OC(CO)[C@@H](O)[C@H](O)C3O)[C@@H](O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3OC(CO)[C@@H](O)[C@H](O)C3O)cc(O)c12
0,405507-96-2,FVXRSGIAXHNGNZ-RGHZSSGJNA-N,C=CC(=C)[C@H](O)C[C@@]1(C)[C@@H](C)C[C@@H](O)C23C(=C[C@H](OC(=O)C(C)CC)C[C@@H]21)[C@H](OC(C)=O)O[C@@H]3OC(C)=O
0,58546-56-8,UFCGDBKFOKKVAC-AXGNGAEKNA-N,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@](C)(O)[C@H]2OC(=O)c1ccccc1
0,51598-36-8,VUFFJPKEUVSKQW-NOASVPEQSA-N,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)CC/C=C(C)CC/C=C(C)CCC1OC1(C)C
0,63700-27-6,MKCFBJDWCJAOTN-UMFDPSGLNA-N,NC1=N[C@H]2n3c(cc(Br)c3Br)C(=O)N3CCC[C@]23N1
0,70509-83-0,YZAPTPVRHPBWGT-JJIBRWJFNA-N,C/C(CC1CC(C)(C)Oc2c1c(=O)n(C)c1ccccc21)=C1/Cc2c(n(C)c3ccccc3c2=O)O1
0,89915-54-8,CFWKEIXHBVWGIW-XYDZHVGRNA-N,COc1cc(-c2cc(=O)c3c(O)cc(O[C@@H]4OC(C(=O)O)[C@H](O)[C@H](O)C4O[C@@H]4OC(C)[C@H](O)[C@H](O)C4O)cc3o2)cc(OC)c1O
0,118929-70-7,AQEVLQOUEXYZOS-AIKOOUTPNA-N,C=C1C(=O)C[C@]2(C)C[C@H]1[C@]1(C)CCC[C@]21C
0,65700-68-7,DGBYYDCXKLJFHV-DYQKLJFLSA-N,CC(C)=CCCC(C)(OC1OC(COC2OCC(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O)C1CC[C@]2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3[C@@H](O)CC12C
0,159993-37-0,QAVQPBYIAQGAIO-CNHIKCKRNA-N,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@@H](O)CCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1
0,329763-38-4,RYCDLMHEPZTQFT-JWONVADANA-N,CC(C)[C@@]12C[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@]34O[C@@H]4[C@@H]1O2
0,178603-39-9,MROYUZKXUGPCPD-INTFGZNESA-N,CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
0,190655-17-5,QCRRVIOGKBUFSM-MRWKBFPYNA-N,COc1cc([C@H]2OC[C@H](Cc3cc(OC)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(OC)c3)[C@@H]2CO)cc(OC)c1O
0,630096-17-2,BYTPMMJRDFCGKX-SAPKRAKGNA-N,COc1ccc([C@@H](O)C(C)Oc2ccc([C@H]3O[C@H](c4ccc5c(c4)OCO5)[C@H](C)[C@H]3C)cc2OC)cc1OC
0,67736-22-5,GYHKMDWFVHCCRA-UHFFFAOYSA-N,Oc1ccc(-c2cc3ccc(O)cc3o2)c(O)c1
0,10207-79-1,JTWQQJDENGGSBJ-MGKVPFPJNA-N,C=CC(=C)CC[C@@H]1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O
0,145851-28-1,FFZOOOCGCNFHAQ-UHFFFAOYSA-N,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC12)c1cc(O)c(O)c(Oc2c(O)c(O)c(O)c3c2C(=O)OC2C(COC(=O)c4cc(O)c(O)c(O)c4-3)OC(OC(=O)c3cc(O)c(O)c(O)c3)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC23)c1
