,CAS ID,InChIKey,SMILES
0,1901-38-8,NPGPPCSBEMHHCR-UHFFFAOYNA-N,CC1=CCC(CCO)C1(C)C
0,1149341-16-1,PMVFYHVSZOZDAN-PVWRLSFDNA-N,CC(OC(=O)/C=Cc1ccc(O)c(O)c1)C(=O)[C@H]1C[C@@H]1[C@H](O)[C@H]1CC=CC(=O)O1
0,28973-99-1,CXENHBSYCFFKJS-LOQWIJHWSA-N,C=CC(C)=CCC=C(C)CCC=C(C)C
0,467-02-7,,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)C=C[C@H]3[C@H]1C5
0,3682-02-8,VPQWOQSQAVBHEV-IKSFYVPFNA-N,O=C1C[C@@H](c2ccc(O)cc2)Oc2c1c(O)cc(O)c2[C@@H]1OC(CO)[C@@H](O)[C@H](O)C1O
0,861886-15-9,UOQPQEKMOLGUPY-PAUOAVIZSA-N,COc1c(O)cc2oc3cc(O)c(C/C=C(/C)COC(C)=O)c(O)c3c(=O)c2c1C/C=C(C)CCC=C(C)C
0,56227-02-2,SXTJDEMVBDBILK-KFLGPPTONA-N,C[C@@H]1C(=O)c2c(cc(CO)c(CCO)c2CO)[C@H]1O
0,748141-81-3,HOUIUXGKDWIALP-VXLYETTFSA-N,CC(C)=CCC/C(C)=C/Cc1cc(-c2coc3cc(O)cc(O)c3c2=O)c(CC=C(C)C)c(O)c1O
0,1469752-69-9,UNRJHSNIAFUFKP-IWNKKBIMSA-N,CC1OC(OC2C(CO)OC(OC3CCC4(C)C(=CCC5C4CCC4(C)C5CC5OC6(CC(O)C(C)(O)CO6)C(C)C54O)C3)C(O)C2O)C(O)C(O)C1O
0,121748-72-9,VAWXDOOFPWDVPC-LBKUQSTESA-N,C/C(=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(C)cc(=O)c2c1O)CO
0,857249-89-9,ZPPVCMASJXQQMG-XISACWJONA-N,CC(C)(O)[C@@H](O)Cc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12
0,110204-45-0,NJIUXIXNVAHRDW-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2cc3c(c(O)c12)OCO3
0,1030879-60-7,GGYOTPDKMLXFLP-UHFFFAOYSA-N,c1(CCCCCCCCCCCCc2cn(ccc2)CCCCCCCCCCCCc2cccn(c2)CCCCCCCCCCCCCCCCN)cccn(c1)CCCCCCCCCCCCCCCCN
0,897929-32-7,OPHOIUCADFRJAM-NJPLCYPENA-N,COc1cc([C@H]2Oc3c(c(OC)cc4ccc(=O)oc34)O[C@@H]2COC(C)=O)ccc1O
0,59742-00-6,HVFSYEGBXBJANJ-UHFFFAOYNA-N,CCC(C)CC(=O)OC1c2c(C)coc2C(=O)C2CCCC(C)C21C
0,172705-25-8,ZXGPRKOWJBUTED-MVLASRCOSA-N,COc1cc(C(=O)OC[C@@H]2[C@@H]3C4[C@H]5O[C@]3(O)C[C@](C)(O5)[C@]42O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O
