,CAS ID,InChIKey,SMILES
0,124869-11-0,ZVTXMJUNGOWZRE-WJRNRPMQNA-N,C[C@]1(CO)CCC[C@]2(C)[C@@H](CO)C(CO)=CC[C@@H]12
0,610789-35-0,VENDSUCOZZAVBB-BTAQWRRCNA-N,CC(C)=CCC[C@@]1(C)[C@H](CC=C(C)C)C[C@H]2C(=O)C(C(=O)C(C)C)=C(O)[C@@H]1C2=O
0,22952-50-7,HJGLXNQIAIMQCH-SCLBCKFNSA-N,COc1c2c(nc3occc13)[C@@]1(OC)CCC(C)(C)O[C@H]1CC2
0,93078-95-6,CLYDDTSYSNAITP-XJHYHYQANA-N,COc1cc(O[C@@H]2OC(CO)[C@@H](O)[C@H](O)C2O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1
0,72948-04-0,GVAUAUADYIZTTD-XQYRREMUNA-N,C=C1C(=O)O[C@H]2/C=C(/C)[C@@H](O)C[C@@H]3O[C@]3(C)C[C@@H](OC(=O)/C(=C/C)CO)[C@@H]12
0,914641-92-2,QSGZRCKKGZPIIZ-YGXZGQPCNA-N,C/C(=CCO[C@@H]1O[C@H](COC2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)CCCC(C)(C)O
0,79185-74-3,MGDVQIQTGYINCS-UHFFFAOYSA-N,COc1ccc2c(cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c32)OCO4)c1OC
0,354584-29-5,KHAJUSVOOGYFIJ-ODFXZGDXNA-N,COc1cc2c(cc1OC)[C@@]1(O)C(=O)c3ccc4occc4c3O[C@H]1CO2
0,137182-31-1,RZDIKGWHRSOWGG-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1CCc1ccc(cc1)Oc1cc(ccc1O)CCc1cccc(c1)O2
0,17909-92-1,KLZWSNKEPLKAOS-IHBLBMEMNA-N,C/C1=CCC(=O)[C@@H](C)C[C@H]2OC(=O)[C@H](C)[C@@H]2CC1
0,54357-81-2,KLMKGDIYOORAED-UHFFFAOYNA-N,CCOC1Oc2cc(OC)c(OC)cc2-c2c1oc1cc(OC)cc(O)c1c2=O
0,34199-21-8,QJTYCCFDQWFJHU-YHAOOQQVNA-N,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O[C@@H]3OC(CO)[C@@H](O)[C@H](O)C3O)c12
0,689257-60-1,HWPVSTHIDBJQHB-VDEGBENUNA-N,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@]4(C)[C@H]5CC=C6[C@@H]7CC(C)(C)CC[C@]7(C(=O)O[C@@H]7O[C@H](CO[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
0,167427-23-8,SVYIMXYKHRBHSG-UHFFFAOYNA-N,CC(C)(O)C1CC(O)C2(C)C(CCC3(C)C2CCC2Cc4c([nH]c5ccccc45)C23C)O1
0,20399-48-8,ZBNGGJNWFWYOJK-UHFFFAOYSA-N,CC(=O)OC1CC2CC(OC(C)=O)C(C1)N2C
0,190895-96-6,UDHYZSNFKHIRSC-MDOHGIEYNA-N,COC1=CC(=O)C(C)=C(C[C@@H](C)O)C1=O
0,129046-73-7,DZMZYLHYVLHECU-QKQISZGYNA-N,CCC1OC(=O)/C=C/C(C)C(O[C@@H]2OC(C)C[C@H](N(C)C)C2O)CCC(C)C(=O)/C=C/C2OC2C1(O)CO[C@H]1OC(C)[C@@H](O)[C@H](OC)C1OC
0,202584-73-4,OFMICPOJOPRGBE-CYBMUJFWSA-N,C=C[C@H](c1ccccc1)c1cc(OC)c(OC)cc1O
0,348110-02-1,NUWOQUUDZKFDMM-JXMROGBWSA-N,COc1cc(/C=C/c2ccc(O)cc2)c(CC=C(C)C)c2c1C=CC(C)(C)O2
0,32539-92-7,BXUAFPXADZNGNU-UHFFFAOYSA-N,CC1CCCCCCCCCCCCC(=O)OC1
0,137217-90-4,IDDMFNIRSJVBHE-UHFFFAOYSA-N,COc1cc(-c2coc3cc(O)cc(O)c3c2=O)cc(OC)c1O
0,53820-35-2,YAVCGZXBKFFNQX-DXZZIPBENA-N,C/C=C(/C)C(=O)O[C@@]12Cc3occ(C)c3C[C@]1(C)[C@@H](C)C[C@@H](O)C2
0,686744-63-8,RXZQMOJDZOQMMZ-IJPJXSECNA-N,COc1cc(C(=O)[C@@H]2COC[C@H]2[C@H](O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
0,214491-35-7,FAGBSUBPJIOUSP-ULWOUTRKSA-N,C=C(C)C(O)Cc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)C1=C[C@H]3C[C@@H]4C(C)(C)O[C@](C/C=C(C)C=O)(C3=O)[C@]14O2
0,474326-30-2,HEJQAGASOIXAKR-UHFFFAOYSA-N,CC1(C)C=Cc2c(c(O)cc3c2oc2oc4c5c(cc(O)c4c(=O)c23)OC(C)(C)CC5)O1
