,CAS ID,SMILES,InChIKey
0,521-62-0,C[C@@H]1O[C@@H](Oc2cc(O)c3C(=O)c4c(O)cc(C)cc4C(=O)c3c2)[C@H](O)[C@H](O)[C@H]1O,DTTVUKLWJFJOHO-FUCRAMRQSA-N
0,37134-80-8,C\C=C\C(=O)NCC(C(C)C)N(O)N=O,FJUBKTNNXRFHFD-SNAWJCMRSA-N
0,78-79-5,CC(=C)C=C,RRHGJUQNOFWUDK-UHFFFAOYSA-N
0,49620-06-6,O[C@@H]1CCCC[C@@]12CCCNC2,POCJOGNVFHPZNS-ZJUUUORDSA-N
0,54522-53-1,CO[C@]1(CC[C@@H](C)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]3C[C@H]4[C@@H]5CC=C6C[C@H](CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]1C)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)C7O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O,LOSNTJHBTWBJCC-OOVOOHTRSA-N
0,55520-20-2,CC(=O)O[C@@H]\1C\C=C(/C)C[C@@H](O)[C@@H]2[C@H](OC(=O)C2=C)\C=C1C,UYVDDCCDZKMLBM-IGERJXIRSA-N
0,55366-56-8,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]([C@H]1O)C(O)=O)Oc2c(O)cc(O)c3C(=O)C(=C(Oc23)c4ccc(O)c(O)c4)O,KHVMAMXQPVHXTJ-ORYXKJSJSA-N
0,199173-81-4,CO[C@@H]1[C@H](O[C@H]2C[C@@](C)([C@H](O)[C@H](C)O2)N(C)C)c3c(O)c4C(=O)c5c(O)ccc(OC)c5C(=O)c4cc3C(=O)[C@]1(C)O,VOWLRGXRNLYFMV-BSDPKGMPSA-N
0,65408-91-5,O[C@H]1[C@@H]2OC(=O)C=C[C@@H]2O[C@@H]1c3ccccc3,ZKIRVBNLJKGIEM-WKSBVSIWSA-N
0,106-21-8,CC(C)CCCC(C)CCO,PRNCMAKCNVRZFX-UHFFFAOYSA-N
0,1818-71-9,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC(=O)N1,MIKUYHXYGGJMLM-UUOKFMHZSA-N
0,1708-82-3,CC/C=C/CCOC(C)=O,NPFVOOAXDOBMCE-SNAWJCMRSA-N
0,550-33-4,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,MRWXACSTFXYYMV-FDDDBJFASA-N
0,81943-52-4,COc1c(O)c2C(=O)C(=C(Oc2c(OC)c1OC)c3ccc(O)c(O)c3)OC,WQDGAXUSPJAKPY-UHFFFAOYSA-N
