,example_compound_name,InChIKey,InChIKey_simp,SMILES,Standard_SMILES,CAS ID,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,NPclassif_isglycoside,NPclassif_class_results_0,NPclassif_class_results_1,NPclassif_class_results_2,NPclassif_class_results_3,NPclassif_superclass_results_0,NPclassif_superclass_results_1,NPclassif_superclass_results_2,NPclassif_pathway_results_0,NPclassif_pathway_results_1,NPclassif_pathway_results_2,pairs
count,407676,407443,407443,407676,407676,364772,407676,407676,407676,407676,407676,315521,384142,389886,400940,407675,384142,49650,2284,356,389886,12039,350,400940,11048,111,407676
unique,147404,148908,100952,134724,128446,40401,33081,26891,26891,26105,363,51293,1407,282,30,2,520,300,77,12,71,51,11,7,6,2,407676
top,beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,19044-06-5,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,Asteraceae,10.1002/FFJ.2730100605,Flavonols,Flavonoids,Terpenoids,False,Flavonols,Isoquinoline alkaloids, Tirucallane and Euphane triterpenoids,Polysaccharides,Flavonoids,Phenylpropanoids (C6-C3),Pseudoalkaloids,Terpenoids,Terpenoids,Shikimates and Phenylpropanoids,× Brassarda junceaCC(C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
freq,1989,2529,3471,2013,2921,12017,1556,1558,1558,1558,57200,802,23702,62604,164555,320924,23718,4095,606,276,62604,3068,171,164555,8048,110,1
